id,value
대한민국,
대한민국.강원도,
대한민국.강원도.횡성군,
대한민국.강원도.횡성군.남자(내),22271
대한민국.강원도.횡성군.여자(내),21446
대한민국.강원도.횡성군.남자(외),520
대한민국.강원도.횡성군.여자(외),475
대한민국.강원도.화천군,
대한민국.강원도.화천군.남자(내),12371
대한민국.강원도.화천군.여자(내),10387
대한민국.강원도.화천군.남자(외),149
대한민국.강원도.화천군.여자(외),185
대한민국.강원도.홍천군,
대한민국.강원도.홍천군.남자(내),33098
대한민국.강원도.홍천군.여자(내),31384
대한민국.강원도.홍천군.남자(외),613
대한민국.강원도.홍천군.여자(외),563
대한민국.강원도.평창군,
대한민국.강원도.평창군.남자(내),19481
대한민국.강원도.평창군.여자(내),18450
대한민국.강원도.평창군.남자(외),300
대한민국.강원도.평창군.여자(외),382
대한민국.강원도.태백시,
대한민국.강원도.태백시.남자(내),20307
대한민국.강원도.태백시.여자(내),19725
대한민국.강원도.태백시.남자(외),98
대한민국.강원도.태백시.여자(외),265
대한민국.강원도.춘천시,
대한민국.강원도.춘천시.남자(내),138878
대한민국.강원도.춘천시.여자(내),142960
대한민국.강원도.춘천시.남자(외),2678
대한민국.강원도.춘천시.여자(외),2588
대한민국.강원도.철원군,
대한민국.강원도.철원군.남자(내),21228
대한민국.강원도.철원군.여자(내),19685
대한민국.강원도.철원군.남자(외),541
대한민국.강원도.철원군.여자(외),401
대한민국.강원도.정선군,
대한민국.강원도.정선군.남자(내),17437
대한민국.강원도.정선군.여자(내),15960
대한민국.강원도.정선군.남자(외),107
대한민국.강원도.정선군.여자(외),282
대한민국.강원도.인제군,
대한민국.강원도.인제군.남자(내),16366
대한민국.강원도.인제군.여자(내),13817
대한민국.강원도.인제군.남자(외),232
대한민국.강원도.인제군.여자(외),255
대한민국.강원도.원주시,
대한민국.강원도.원주시.남자(내),174887
대한민국.강원도.원주시.여자(내),177735
대한민국.강원도.원주시.남자(외),2295
대한민국.강원도.원주시.여자(외),2307
대한민국.강원도.영월군,
대한민국.강원도.영월군.남자(내),18273
대한민국.강원도.영월군.여자(내),17066
대한민국.강원도.영월군.남자(외),142
대한민국.강원도.영월군.여자(외),247
대한민국.강원도.양양군,
대한민국.강원도.양양군.남자(내),13350
대한민국.강원도.양양군.여자(내),12878
대한민국.강원도.양양군.남자(외),209
대한민국.강원도.양양군.여자(외),195
대한민국.강원도.양구군,
대한민국.강원도.양구군.남자(내),10902
대한민국.강원도.양구군.여자(내),9808
대한민국.강원도.양구군.남자(외),209
대한민국.강원도.양구군.여자(외),202
대한민국.강원도.속초시,
대한민국.강원도.속초시.남자(내),39307
대한민국.강원도.속초시.여자(내),39591
대한민국.강원도.속초시.남자(외),842
대한민국.강원도.속초시.여자(외),622
대한민국.강원도.삼척시,
대한민국.강원도.삼척시.남자(내),32793
대한민국.강원도.삼척시.여자(내),30795
대한민국.강원도.삼척시.남자(외),500
대한민국.강원도.삼척시.여자(외),376
대한민국.강원도.동해시,
대한민국.강원도.동해시.남자(내),43838
대한민국.강원도.동해시.여자(내),42420
대한민국.강원도.동해시.남자(외),546
대한민국.강원도.동해시.여자(외),460
대한민국.강원도.고성군,
대한민국.강원도.고성군.남자(내),12876
대한민국.강원도.고성군.여자(내),12234
대한민국.강원도.고성군.남자(외),1099
대한민국.강원도.고성군.여자(외),441
대한민국.강원도.강릉시,
대한민국.강원도.강릉시.남자(내),106691
대한민국.강원도.강릉시.여자(내),106613
대한민국.강원도.강릉시.남자(외),1633
대한민국.강원도.강릉시.여자(외),1623
대한민국.경기도,
대한민국.경기도.화성시,
대한민국.경기도.화성시.남자(내),441545
대한민국.경기도.화성시.여자(내),411874
대한민국.경기도.화성시.남자(외),35918
대한민국.경기도.화성시.여자(외),17044
대한민국.경기도.하남시,
대한민국.경기도.하남시.남자(내),150739
대한민국.경기도.하남시.여자(내),151262
대한민국.경기도.하남시.남자(외),1756
대한민국.경기도.하남시.여자(외),1713
대한민국.경기도.포천시,
대한민국.경기도.포천시.남자(내),74004
대한민국.경기도.포천시.여자(내),67418
대한민국.경기도.포천시.남자(외),11860
대한민국.경기도.포천시.여자(외),4320
대한민국.경기도.평택시,
대한민국.경기도.평택시.남자(내),280448
대한민국.경기도.평택시.여자(내),257964
대한민국.경기도.평택시.남자(외),18804
대한민국.경기도.평택시.여자(외),14622
대한민국.경기도.팔달구,
대한민국.경기도.팔달구.남자(내),88559
대한민국.경기도.팔달구.여자(내),87103
대한민국.경기도.팔달구.남자(외),10699
대한민국.경기도.팔달구.여자(외),9057
대한민국.경기도.파주시,
대한민국.경기도.파주시.남자(내),232705
대한민국.경기도.파주시.여자(내),227828
대한민국.경기도.파주시.남자(외),9875
대한민국.경기도.파주시.여자(외),4804
대한민국.경기도.처인구,
대한민국.경기도.처인구.남자(내),130246
대한민국.경기도.처인구.여자(내),124825
대한민국.경기도.처인구.남자(외),8162
대한민국.경기도.처인구.여자(외),4882
대한민국.경기도.중원구,
대한민국.경기도.중원구.남자(내),103528
대한민국.경기도.중원구.여자(내),101491
대한민국.경기도.중원구.남자(외),1846
대한민국.경기도.중원구.여자(외),2305
대한민국.경기도.장안구,
대한민국.경기도.장안구.남자(내),135350
대한민국.경기도.장안구.여자(내),132617
대한민국.경기도.장안구.남자(외),5002
대한민국.경기도.장안구.여자(외),4817
대한민국.경기도.일산서구,
대한민국.경기도.일산서구.남자(내),137165
대한민국.경기도.일산서구.여자(내),145707
대한민국.경기도.일산서구.남자(외),2325
대한민국.경기도.일산서구.여자(외),2546
대한민국.경기도.일산동구,
대한민국.경기도.일산동구.남자(내),138950
대한민국.경기도.일산동구.여자(내),148095
대한민국.경기도.일산동구.남자(외),3177
대한민국.경기도.일산동구.여자(외),2792
